OBJECTID,ID,NAME,TELEPHONE,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,EMERGTITLE,EMERGTEL,EMERGEXT,CONTDATE,CONTHOW,GEODATE,GEOHOW,HSIPTHEMES,NAICSCODE,NAICSDESCR,GEOLINKID,X,Y,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,UCAOA_ID
4014,13,TOWNSEND CLINIC,904-461-1901,4475 UNITED STATES HIGHWAY 1, ,SAINT AUGUSTINE,FL,32086, ,ST JOHNS,12109,ON THE SW SIDE OF US-1 BETWEEN SOUTHWOOD LAKE DR AND BELLA TERRA DR, , , ,2009-02-03T00:00:00.000Z,PHONE,2009-02-04T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",42737156,-81.3225919,29.8080963,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4015,14,AMELON IMMEDIATE CARE,434-929-1095,200 AMELON SQUARE, ,MADISON HEIGHTS,VA,24572,5981,AMHERST,51009,LOCATED ON THE NORTHEAST CORNER OF AMHERST HWY AND AMELON SQ, , , ,2009-03-30T00:00:00.000Z,PHONE,2009-03-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",123408417,-79.1166156,37.4681139,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4016,15,FAIRFAX CONVENIENT CARE,703-849-0900,8301 ARLINGTON BOULEVARD,SUITE 100,FAIRFAX,VA,22031,2902,FAIRFAX,51059,ON THE EAST SIDE OF WILLIAMS DR BETWEEN WILLOW OAKS CORPORATE DR AND ARLINGTON BLVD, , , ,2009-02-06T00:00:00.000Z,PHONE,2009-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",18356918,-77.2313179,38.8649766,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4017,16,PRINCETON PRIMARY AND URGENT CARE CENTER LIMITED LIABILITY COMPANY,609-919-0009,707 ALEXANDER ROAD,SUITE 201,PRINCETON,NJ,8540,6331,MERCER,34021,LOCATED ON THE NORTHEAST SIDE OF ALEXANDER ROAD .1 MILES NORTHWEST OF THE INTERSECTION OF ROSZEL ROAD AND ALEXANDER ROAD., , , ,2009-01-26T00:00:00.000Z,PHONE,2009-02-02T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",743356444,-74.6377729,40.3228922,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2609
4018,17,HOLZER CLINIC - JACKSON,740-395-8805,280 PATTONSVILLE ROAD, ,JACKSON,OH,45640,9452,JACKSON,39079,S SIDE OF E BROADWAY ST ABOUT .1 MI W OF KESSINGER SCHOOL RD., , , ,2009-01-29T00:00:00.000Z,PHONE,2009-01-29T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115978325,-82.6155319,39.0509212,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2969
4019,18,SMYRNA MEDICAL AID UNIT,302-659-4545,100 SOUTH MAIN STREET, ,SMYRNA,DE,19977,1477,KENT,10001,LOC ON THE E CORNER OF S MAIN ST AND E SOUTH ST., , , ,2009-01-26T00:00:00.000Z,PHONE,2009-01-26T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",90767684,-75.6044642,39.2998057,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4020,19,TENNESSEE URGENT CARE ASSOCIATES - ANTIOCH FACILITY,615-399-6898,2553 MURFREESBORO PIKE, ,NASHVILLE,TN,37217,3547,DAVIDSON,47037,LOCATED AT THE SOUTH CORNER OF DOVER GLEN DRIVE AND MURFREESBORO PIKE., , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",31401939,-86.6410982,36.0765014,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4021,20,SAINT JOSEPH HEALTH NETWORK URGENT AND DIAGNOSTIC CARE,610-913-1234,45 SOUTH PINE STREET, ,ELVERSON,PA,19520,9720,CHESTER,42029,"LOC ON THE EAST SIDE OF S PINE ST, APPR .1 MILES SOUTH OF E MAIN ST.", , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",32777586,-75.8266253,40.1556907,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3196
4022,21,EMERGENCY CARE AT LAKE JOY,478-987-0323,1118 STATE HIGHWAY 96, ,KATHLEEN,GA,31047, ,HOUSTON,13153,"LOCATED ON THE SOUTHEAST SIDE OF GA-96, APRROX .3MI SOUTHWEST OF LAKE JOY ROAD.", , , ,2009-02-19T00:00:00.000Z,PHONE,2009-02-19T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",133504601,-83.6940191,32.5468937,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4023,22,MELBOURNE MEDICAL CENTER,321-728-0000,15 EAST HIBISCUS BOULEVARD, ,MELBOURNE,FL,32901,3101,BREVARD,12009,LOCATED ON THE S SIDE OF E HIBISCUS BLVD .07 MILES E OF BABCOCK ST S., , , ,2008-01-23T00:00:00.000Z,PHONE,2008-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",36457725,-80.6205818,28.0848918,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_1218
4024,23,INDIAN RIVER WALK IN CLINIC,772-778-1400,1880 37TH STREET, ,VERO BEACH,FL,32960,6591,INDIAN RIVER,12061,LOC ON THE NORTHEAST CORNER OF US-1 AND 37TH STREET., , , ,2008-12-24T00:00:00.000Z,PHONE,2008-12-24T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",106066547,-80.4036911,27.6607287,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4025,24,PROMED MINOR EMERGENCY CENTER,704-216-2504,628 WEST INNES STREET, ,SALISBURY,NC,28144,4143,ROWAN,37159,LOC AT THE SOUTHEAST CORNER OF NORTH CRAIGE STREET AND WEST INNES STREET., , , ,2009-01-13T00:00:00.000Z,PHONE,2009-01-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102409617,-80.4756258,35.6728382,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2450
4026,25,NEXTCARE URGENT CARE - LUMBERTON,910-738-7241,2601 NORTH ELM STREET,PROFESSIONAL PLAZA SUITE A,LUMBERTON,NC,28358, ,ROBESON,37155,LOC AT THE NORTHWEST CORNER OF WEST 26TH STREET AND NORTH ELM STREET., , , ,2009-01-13T00:00:00.000Z,PHONE,2009-01-13T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",125341179,-79.0085074,34.6357198,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_2403
4027,26,CLEMMONS URGENT AND PRIMARY CARE,336-712-8225,2245 LEWISVILLE CLEMMONS ROAD,SUITE C,CLEMMONS,NC,27012,7461,FORSYTH,37067,ON THE EAST SIDE OF LEWISVILLE CLEMMONS ROAD BETWEEN SOUTH PEACE HAVEN ROAD AND SEDALIA DRIVE, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",17067099,-80.3867275,36.0432452,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4028,27,BEACHCARE URGENT MEDICAL CARE,252-808-3696,5059 STATE HIGHWAY 70 WEST, ,MOREHEAD CITY,NC,28557, ,CARTERET,37031,ON THE SOUTH SIDE OF US-70 .12 MILES EAST OF JONES ROAD, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",704996903,-76.7987944,34.7360697,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4029,28,ISLAND URGENT MEDICAL CARE,631-727-8032,1228 EAST MAIN STREET, ,RIVERHEAD,NY,11901,2675,SUFFOLK,36103,LOCATED ON THE W SIDE OF E MAIN ST AND SUNRISE AVE T-INTERSECTION., , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",127783052,-72.6497038,40.931643,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4030,29,UNIVERSITY HOSPITAL MEDICAL CENTER - COLUMBIA COUNTY,706-868-3220,4106 COLUMBIA ROAD,SUITE 103,AUGUSTA,GA,30907,1482,COLUMBIA,13073,LOCATED AT THE SW CORNER OF COLUMBIA ROAD AND FLOWING WELLS ROAD., , , ,2008-01-23T00:00:00.000Z,PHONE,2008-01-23T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",114482634,-82.1062509,33.5079068,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS,UC_1295
4031,30,HOLZER CLINIC - MEIGS-POMEROY,740-992-0060,88 EAST MEMORIAL DRIVE, ,POMEROY,OH,45769,9569,MEIGS,39105,LOCATED ON THE SOUTH SIDE OF THE NORTHERN MOST E MEMORIAL DR APPROX .1 MILE WEST OF MULBERRY AVE, , , ,2009-01-30T00:00:00.000Z,PHONE,2009-01-30T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",115971883,-82.045855,39.0386832,NAVTEQ,2008Q1,ONENTITY,YES,TGS,UC_3054
4032,31,ADVANCED URGENT CARE PRIVATE CORPORATION,571-261-4165,7200 HERITAGE VILLAGE PLAZA,SUITE 101,GAINESVILLE,VA,20155,3070,PRINCE WILLIAM,51153,LOC ON THE SW SIDE OF HERITAGE VILLAGE PLZ APPROX 0.11MILES SW OF THE EASTERNMOST INTERSECTION OF HEALTHCOTE BLVD AND HERITAGE VILLAGE PLZ, , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-05T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",128073542,-77.6031248,38.8034237,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4033,32,BOYETTE WALK-IN CLINIC,813-741-2100,10508 GIBSONTON DRIVE, ,RIVERVIEW,FL,33569,5434,HILLSBOROUGH,12057,"LOCATED ON THE NORTH SIDE OF GIBSONTON DRIVE, BETWEEN OAK RIDGE AVENUE AND MATHOG ROAD.", , , ,2008-02-06T00:00:00.000Z,PHONE,2008-02-06T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",23166817,-82.3311877,27.8574105,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
4034,33,MED ONE CARE,910-401-5688,413 OWEN DRIVE,SUITE 202,FAYETTEVILLE,NC,28304,3411,CUMBERLAND,37051,"LOC ON THE EAST SIDE OF OWEN DR, LESS THAN .1 MILES SOUTH OF PLAYER AVE.", , , ,2009-01-14T00:00:00.000Z,PHONE,2009-01-14T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",102701286,-78.9329181,35.038292,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4035,34,MARTINSVILLE URGENT CARE LIMITED LIABILITY COMPANY,276-634-0010,1044 EAST CHURCH STREET, ,MARTINSVILLE,VA,24112,3232,MARTINSVILLE CITY,51690,LOCATED ON THE SOUTHWEST CORNER OF SALMON ST AND E CHURCH ST, , , ,2009-02-09T00:00:00.000Z,PHONE,2009-02-09T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",101696301,-79.8456938,36.6929836,NAVTEQ,2008Q1,ONENTITY,YES,TGS, 
4036,35,GREATER MOBILE URGENT CARE,251-633-0123,2350 SCHILLINGER ROAD, ,MOBILE,AL,36695,4177,MOBILE,1097,"LOCATED ON THE WEST SIDE OF SCHILLINGER RD S, .2 MILES NORTH OF THE INTERSECTION PF COTTAGE HILL RD AND SCHILLINGER RD S.", , , ,2008-12-31T00:00:00.000Z,PHONE,2008-12-31T00:00:00.000Z,MANUAL,"CRITICAL INFRASTRUCTURE, PDD-63; PUBLIC HEALTH; PRIMARY CARE FACILITIES (INCLUDING HOSPITALS); AMBULATORY SURGICAL FACILITIES",621493,"URGENT MEDICAL CARE CENTERS AND CLINICS (EXCEPT HOSPITALS), FREESTANDING",109045069,-88.2249806,30.6419737,NAVTEQ,2008Q1,BLOCKFACE,YES,TGS, 
