0,zip_code,CAD Number,Response_Date,Call Date,Initial Problem Type,Final Problem Type,Block Address,Time PhonePickUp,Time First Unit Arrived,delta,minutes
"1200 Montopolis Dr, Austin, TX 78741, USA",78741,130100860,2013-01-10 12:50:37,01/10/2013,Crash Urgent,Crash Urgent,Elkhart St / E 2nd St,2013-01-10 12:50:26.000,2013-01-10 13:04:26.000,0 days 00:14:00.000000000,14.0
"12611 N Hwy 183, Austin, TX 78759, United States",78759,171440666,2017-05-24 10:58:11,05/24/2017,Suspicious Vehicle,Suspicious Vehicle,9300 Block Research Blvd Svrd Nb,2017-05-24 10:55:55.000,2017-05-24 11:06:36.957,0 days 00:10:41.957000000,10.6833333333
"6711 E Ben White Blvd, Austin, TX 78744, USA",78744,171780316,2017-06-27 07:10:21,06/27/2017,On Site Incident,Traffic Hazard,100 Block Bastrop Hwy Sb,2017-06-27 07:10:21.000,2017-06-27 07:10:21.000,0 days 00:00:00.000000000,0.0
"1800 Barton Hills Dr, Austin, TX 78704, USA",78704,172921248,2017-10-19 17:00:11,10/19/2017,Traffic Stop,Traffic Stop,1800 Block - 1899 BARTON HILLS DR,2017-10-19 17:00:11.000,2017-10-19 17:00:12.580,0 days 00:00:01.580000000,0.0166666666667
"300 E 6th St, Austin, TX 78701, USA",78701,172921248,2017-10-19 17:00:11,10/19/2017,Traffic Stop,Traffic Stop,1800 Block - 1899 BARTON HILLS DR,2017-10-19 17:00:11.000,2017-10-19 17:00:12.580,0 days 00:00:01.580000000,0.0166666666667
"3800 E 12th St, Austin, TX 78721, USA",78721,121271674,2012-05-06 18:35:07,05/06/2012,Special Assignment,Special Assignment,3800 Block e 12TH ST,2012-05-06 18:35:07.000,2012-05-06 18:35:07.000,0 days 00:00:00.000000000,0.0
"3516 Presidential Blvd, Austin, TX 78719, USA",78719,121271674,2012-05-06 18:35:07,05/06/2012,Special Assignment,Special Assignment,3800 Block e 12TH ST,2012-05-06 18:35:07.000,2012-05-06 18:35:07.000,0 days 00:00:00.000000000,0.0
"400 E 6th St, Austin, TX 78701, USA",78701,122560287,2012-09-12 04:24:07,09/12/2012,On Site Incident,DOC / C.O. Violation,400 Block E 6TH ST,2012-09-12 04:24:07.000,2012-09-12 04:24:07.000,0 days 00:00:00.000000000,0.0
"10300 Jollyville Rd, Austin, TX 78759, USA",78759,122560287,2012-09-12 04:24:07,09/12/2012,On Site Incident,DOC / C.O. Violation,400 Block E 6TH ST,2012-09-12 04:24:07.000,2012-09-12 04:24:07.000,0 days 00:00:00.000000000,0.0
"1900 Ridgemont Dr, Austin, TX 78723, USA",78723,131162082,2013-04-26 22:26:48,04/26/2013,DOC / C.O. Violation,DOC / C.O. Violation,1900 Block Ridgemont Dr,2013-04-26 22:26:33.000,2013-04-26 22:40:33.000,0 days 00:14:00.000000000,14.0
"8800 McCann Dr, Austin, TX 78757, USA",78757,131162082,2013-04-26 22:26:48,04/26/2013,DOC / C.O. Violation,DOC / C.O. Violation,1900 Block Ridgemont Dr,2013-04-26 22:26:33.000,2013-04-26 22:40:33.000,0 days 00:14:00.000000000,14.0
"400 E 6th St, Austin, TX 78701, USA",78701,132990257,2013-10-26 02:13:25,10/26/2013,zFLAGGED DOWN,zFLAGGED DOWN,400 Block E 6TH ST,2013-10-26 02:13:25.000,2013-10-26 02:13:25.000,0 days 00:00:00.000000000,0.0
"1100 Rutherford Ln, Austin, TX 78752, USA",78752,132990257,2013-10-26 02:13:25,10/26/2013,zFLAGGED DOWN,zFLAGGED DOWN,400 Block E 6TH ST,2013-10-26 02:13:25.000,2013-10-26 02:13:25.000,0 days 00:00:00.000000000,0.0
"1300 Lavaca St, Austin, TX 78701, USA",78701,131171308,2013-04-27 16:39:05,04/27/2013,Suspicious Unknown,Suspicious Vehicle,E 3rd St / Chalmers Ave,2013-04-27 16:38:38.000,2013-04-27 17:11:06.000,0 days 00:32:28.000000000,32.4666666667
"8700 Mountain Ridge Dr, Austin, TX 78759, USA",78759,162081024,2016-07-26 15:05:36,07/26/2016,Animal Service,Animal Service,8700 Block Mountain Ridge Dr,2016-07-26 15:05:21.000,2016-07-26 15:58:28.000,0 days 00:53:07.000000000,53.1166666667
"100 W Slaughter Ln, Austin, TX 78748, USA",78748,162081024,2016-07-26 15:05:36,07/26/2016,Animal Service,Animal Service,8700 Block Mountain Ridge Dr,2016-07-26 15:05:21.000,2016-07-26 15:58:28.000,0 days 00:53:07.000000000,53.1166666667
"2100 S Lakeshore Blvd, Austin, TX 78741, USA",78741,172070568,2017-07-26 09:57:53,07/26/2017,On Site Incident,On Site Incident,2100 Block S LAKESHORE BLVD,2017-07-26 09:57:53.000,2017-07-26 09:57:53.167,0 days 00:00:00.167000000,0.0
"6100 Buffalo Pass, Austin, TX 78745, USA",78745,172070568,2017-07-26 09:57:53,07/26/2017,On Site Incident,On Site Incident,2100 Block S LAKESHORE BLVD,2017-07-26 09:57:53.000,2017-07-26 09:57:53.167,0 days 00:00:00.167000000,0.0
"2026 Guadalupe St, Austin, TX 78705, USA",78705,141160842,2014-04-26 11:10:11,04/26/2014,Traffic Impediment,Traffic Impediment,Guadalupe St / Zennia St,2014-04-26 11:08:27.000,2014-04-26 11:54:24.000,0 days 00:45:57.000000000,45.95
"1400 Woodland Ave, Austin, TX 78704, USA",78704,141160842,2014-04-26 11:10:11,04/26/2014,Traffic Impediment,Traffic Impediment,Guadalupe St / Zennia St,2014-04-26 11:08:27.000,2014-04-26 11:54:24.000,0 days 00:45:57.000000000,45.95
"13900 Tophill Cir, Pflugerville, TX 78660, USA",78660,150630415,2015-03-04 08:46:11,03/04/2015,Warrant Service,Warrant Service,13900 Block TOPHILL CIR,2015-03-04 08:46:11.000,2015-03-04 08:46:11.000,0 days 00:00:00.000000000,0.0
"800 Rutland Dr, Austin, TX 78758, USA",78758,150630415,2015-03-04 08:46:11,03/04/2015,Warrant Service,Warrant Service,13900 Block TOPHILL CIR,2015-03-04 08:46:11.000,2015-03-04 08:46:11.000,0 days 00:00:00.000000000,0.0
"7200 Duval St, Austin, TX 78752, USA",78752,161581706,2016-06-06 21:16:13,06/06/2016,Disturbance Other,Disturbance Other,7200 Block Duval St,2016-06-06 21:15:24.000,2016-06-06 21:53:28.000,0 days 00:38:04.000000000,38.0666666667
"6700 US-290, Austin, TX 78735, USA",78735,161581706,2016-06-06 21:16:13,06/06/2016,Disturbance Other,Disturbance Other,7200 Block Duval St,2016-06-06 21:15:24.000,2016-06-06 21:53:28.000,0 days 00:38:04.000000000,38.0666666667
"7200 Duval St, Austin, TX 78752, USA",78752,161651395,2016-06-13 18:16:09,06/13/2016,Disturbance Other,Disturbance Other,7200 Block Duval St,2016-06-13 18:15:37.000,2016-06-13 18:24:51.000,0 days 00:09:14.000000000,9.23333333333
"1100 W Live Oak St, Austin, TX 78704, USA",78704,161651395,2016-06-13 18:16:09,06/13/2016,Disturbance Other,Disturbance Other,7200 Block Duval St,2016-06-13 18:15:37.000,2016-06-13 18:24:51.000,0 days 00:09:14.000000000,9.23333333333
"2100 Wickersham Ln, Austin, TX 78741, USA",78741,172131686,2017-08-01 21:53:36,08/01/2017,Disturbance Other,xFAMILY DISTURBANCE,2100 Block Wickersham Ln,2017-08-01 21:52:04.000,2017-08-01 22:03:09.310,0 days 00:11:05.310000000,11.0833333333
"6500 Manor Rd, Austin, TX 78723, USA",78723,162061148,2016-07-24 16:21:05,07/24/2016,Trespass Urgent,Trespass Urgent,6500 Block Manor Rd,2016-07-24 16:20:00.000,2016-07-24 16:27:01.000,0 days 00:07:01.000000000,7.01666666667
"4900 Teri Rd, Austin, TX 78744, USA",78744,120120817,2012-01-12 12:14:47,01/12/2012,Burglary Urgent,Burglary Urgent,8100 Block Ferguson Ctof,2012-01-12 12:14:38.000,2012-01-12 12:30:40.000,0 days 00:16:02.000000000,16.0333333333
"1000 E 41st St, Austin, TX 78751, USA",78751,121181095,2012-04-27 14:12:27,04/27/2012,On Site Incident,xCRIMINAL TRESPASS,1000 Block E 41ST ST,2012-04-27 14:12:27.000,2012-04-27 14:12:27.000,0 days 00:00:00.000000000,0.0
"1500 Royal Crest Dr, Austin, TX 78741, USA",78741,130401934,2013-02-09 23:17:42,02/09/2013,Suspicious Vehicle,Suspicious Vehicle,1500 Block Royal Crest Dr,2013-02-09 23:16:18.000,2013-02-09 23:20:42.000,0 days 00:04:24.000000000,4.4
"1900 E Martin Luther King Jr Blvd, Austin, TX 78702, USA",78702,130401934,2013-02-09 23:17:42,02/09/2013,Suspicious Vehicle,Suspicious Vehicle,1500 Block Royal Crest Dr,2013-02-09 23:16:18.000,2013-02-09 23:20:42.000,0 days 00:04:24.000000000,4.4
"Austin, TX 78704, USA",78704,130560003,2013-02-25 00:01:14,02/25/2013,Traffic Hazard,Traffic Hazard,3800 Block S Ih 35 Nb,2013-02-25 00:00:31.000,2013-02-25 00:46:12.000,0 days 00:45:41.000000000,45.6833333333
"300 E 6th St, Austin, TX 78701, USA",78701,130560003,2013-02-25 00:01:14,02/25/2013,Traffic Hazard,Traffic Hazard,3800 Block S Ih 35 Nb,2013-02-25 00:00:31.000,2013-02-25 00:46:12.000,0 days 00:45:41.000000000,45.6833333333
"1900 Webberville Rd, Austin, TX 78721, USA",78721,132680320,2013-09-25 06:11:47,09/25/2013,Alarm Other,Alarm Other,1900 Block Webberville Rd,2013-09-25 06:11:22.000,2013-09-25 06:34:35.000,0 days 00:23:13.000000000,23.2166666667
"1000 Springdale Rd, Austin, TX 78702, USA",78702,132920457,2013-10-19 05:38:06,10/19/2013,Disturbance Other,Nature Unknown Urgent,1000 Block Springdale Rd,2013-10-19 05:36:54.000,2013-10-19 05:44:31.000,0 days 00:07:37.000000000,7.61666666667
"200 Cinderella Dr, Austin, TX 78752, USA",78752,163011555,2016-10-27 19:59:09,10/27/2016,Burglary Urgent,Burglary Urgent,200 Block Cinderella Dr,2016-10-27 19:58:31.000,2016-10-27 20:04:56.253,0 days 00:06:25.253000000,6.41666666667
"9800 Middle Fiskville Rd, Austin, TX 78752, USA",78752,163011555,2016-10-27 19:59:09,10/27/2016,Burglary Urgent,Burglary Urgent,200 Block Cinderella Dr,2016-10-27 19:58:31.000,2016-10-27 20:04:56.253,0 days 00:06:25.253000000,6.41666666667
"2200 Justin Ln, Austin, TX 78757, USA",78757,133231169,2013-11-19 15:04:10,11/19/2013,*Assist Non Emergency,xASSIST EMS,2200 Block Justin Ln,2013-11-19 14:55:34.000,2013-11-19 15:08:15.000,0 days 00:12:41.000000000,12.6833333333
"2500 W Slaughter Ln, Austin, TX 78748, USA",78748,133231169,2013-11-19 15:04:10,11/19/2013,*Assist Non Emergency,xASSIST EMS,2200 Block Justin Ln,2013-11-19 14:55:34.000,2013-11-19 15:08:15.000,0 days 00:12:41.000000000,12.6833333333
"2100 Kramer Ln, Austin, TX 78758, USA",78758,142481892,2014-09-05 19:57:42,09/05/2014,Traffic Stop,Traffic Stop,CONGRESS AVE / E CESAR CHAVEZ ST,2014-09-05 19:57:42.000,2014-09-05 19:57:42.000,0 days 00:00:00.000000000,0.0
"400 Brazos St, Austin, TX 78701, USA",78701,143621003,2014-12-28 18:35:16,12/28/2014,Traffic Stop,Traffic Stop,ROXANNA DR / LEAH CV,2014-12-28 18:35:16.000,2014-12-28 18:35:16.000,0 days 00:00:00.000000000,0.0
"8300 N FM 620, Austin, TX 78726, USA",78726,170351179,2017-02-04 17:53:53,02/04/2017,Special Assignment,Special Assignment,8300 Block N Fm 620 Rd,2017-02-04 17:53:53.000,2017-02-04 17:53:53.000,0 days 00:00:00.000000000,0.0
"7600 TX-71, Austin, TX 78735, USA",78735,170351179,2017-02-04 17:53:53,02/04/2017,Special Assignment,Special Assignment,8300 Block N Fm 620 Rd,2017-02-04 17:53:53.000,2017-02-04 17:53:53.000,0 days 00:00:00.000000000,0.0
"2600 Monarch Dr, Austin, TX 78748, USA",78748,171290940,2017-05-09 13:40:03,05/09/2017,Alarm Burglar,xFALSE BURGLAR ALARM,2600 Block Monarch Dr,2017-05-09 13:39:52.000,2017-05-09 13:49:08.213,0 days 00:09:16.213000000,9.26666666667
"6200 Dorchester Dr, Austin, TX 78723, USA",78723,171290940,2017-05-09 13:40:03,05/09/2017,Alarm Burglar,xFALSE BURGLAR ALARM,2600 Block Monarch Dr,2017-05-09 13:39:52.000,2017-05-09 13:49:08.213,0 days 00:09:16.213000000,9.26666666667
"5000 Blue Spruce Cir, Austin, TX 78723, USA",78723,170131500,2017-01-13 17:43:41,01/13/2017,*Assist Non Emergency,xASSIST FIRE DEPARTMENT,5000 Block Blue Spruce Cir,2017-01-13 17:43:01.000,2017-01-13 17:47:54.027,0 days 00:04:53.027000000,4.88333333333
"1800 E 51st St, Austin, TX 78723, USA",78723,170131500,2017-01-13 17:43:41,01/13/2017,*Assist Non Emergency,xASSIST FIRE DEPARTMENT,5000 Block Blue Spruce Cir,2017-01-13 17:43:01.000,2017-01-13 17:47:54.027,0 days 00:04:53.027000000,4.88333333333
"Austin, TX 78701, USA",78701,123501371,2012-12-15 17:47:43,12/15/2012,Nature Unknown Urgent,Nature Unknown Urgent,3800 Block N Capital Of Texas Hwy Nb,2012-12-15 17:47:22.000,2012-12-15 18:00:31.000,0 days 00:13:09.000000000,13.15
"2200 E 14th St, Austin, TX 78702, USA",78702,123501371,2012-12-15 17:47:43,12/15/2012,Nature Unknown Urgent,Nature Unknown Urgent,3800 Block N Capital Of Texas Hwy Nb,2012-12-15 17:47:22.000,2012-12-15 18:00:31.000,0 days 00:13:09.000000000,13.15
"1900 Shady Brook Ln, Austin, TX 78723, USA",78723,131580670,2013-06-07 09:53:49,06/07/2013,Service,Service,1900 Block Shady Brook Ln,2013-06-07 09:52:20.000,2013-06-07 10:04:25.000,0 days 00:12:05.000000000,12.0833333333
"3600 Presidential Blvd, Austin, TX 78719, USA",78719,131580670,2013-06-07 09:53:49,06/07/2013,Service,Service,1900 Block Shady Brook Ln,2013-06-07 09:52:20.000,2013-06-07 10:04:25.000,0 days 00:12:05.000000000,12.0833333333
"5100 Harmon Ave, Austin, TX 78751, USA",78751,132440095,2013-09-01 00:40:00,09/01/2013,Suspicious Person,Suspicious Person,5100 Block - 5198 Harmon Ave,2013-09-01 00:38:39.000,2013-09-01 00:42:15.000,0 days 00:03:36.000000000,3.6
"1000 Collinwood W Dr, Austin, TX 78753, USA",78753,141800619,2014-06-29 08:36:13,06/29/2014,*Assist Non Emergency,*Assist Non Emergency,1000 Block Collinwood West Dr,2014-06-29 08:32:17.000,2014-06-29 08:54:36.000,0 days 00:22:19.000000000,22.3166666667
"2500 Bitter Creek Dr, Austin, TX 78744, USA",78744,141800619,2014-06-29 08:36:13,06/29/2014,*Assist Non Emergency,*Assist Non Emergency,1000 Block Collinwood West Dr,2014-06-29 08:32:17.000,2014-06-29 08:54:36.000,0 days 00:22:19.000000000,22.3166666667
"5800 Sweeney Cir, Austin, TX 78723, USA",78723,152980006,2015-10-25 00:02:03,10/25/2015,Disturbance HS,xASSAULT WITH INJURY,5800 Block Sweeney Cir,2015-10-25 00:01:35.000,2015-10-25 00:04:42.000,0 days 00:03:07.000000000,3.11666666667
"9037 Research Blvd Ste 500, Austin, TX 78758, USA",78758,152980006,2015-10-25 00:02:03,10/25/2015,Disturbance HS,xASSAULT WITH INJURY,5800 Block Sweeney Cir,2015-10-25 00:01:35.000,2015-10-25 00:04:42.000,0 days 00:03:07.000000000,3.11666666667
"2806 Waymaker Way, Austin, TX 78746, USA",78746,161020460,2016-04-11 08:13:17,04/11/2016,Traffic Impediment,Traffic Impediment,2806-2800 Block Waymaker Way,2016-04-11 08:11:41.000,2016-04-11 09:09:20.000,0 days 00:57:39.000000000,57.65
"11100 Domain Dr, Austin, TX 78758, USA",78758,161020460,2016-04-11 08:13:17,04/11/2016,Traffic Impediment,Traffic Impediment,2806-2800 Block Waymaker Way,2016-04-11 08:11:41.000,2016-04-11 09:09:20.000,0 days 00:57:39.000000000,57.65
"W Powell Ln, Austin, TX 78753, USA",78753,163270683,2016-11-22 12:25:35,11/22/2016,Trespass Urgent,xCRIMINAL TRESPASS,8300 Block N Ih 35 Svrd Sb,2016-11-22 12:25:05.000,2016-11-22 12:53:09.000,0 days 00:28:04.000000000,28.0666666667
"2328 Nestlewood Dr, Austin, TX 78754, USA",78754,131381227,2013-05-18 15:38:59,05/18/2013,Suspicious Person,Suspicious Person,2200 Block - 2328 NESTLEWOOD DR,2013-05-18 15:38:10.000,2013-05-18 15:48:20.000,0 days 00:10:10.000000000,10.1666666667
"1915 Wells Branch Pkwy, Austin, TX 78728, USA",78728,131381227,2013-05-18 15:38:59,05/18/2013,Suspicious Person,Suspicious Person,2200 Block - 2328 NESTLEWOOD DR,2013-05-18 15:38:10.000,2013-05-18 15:48:20.000,0 days 00:10:10.000000000,10.1666666667
"5100 Regency Dr, Austin, TX 78724, USA",78724,140600693,2014-03-01 08:40:42,03/01/2014,Warrant Service,Warrant Service,5100 Block REGENCY DR,2014-03-01 08:40:42.000,2014-03-01 08:40:42.000,0 days 00:00:00.000000000,0.0
"6600 Ed Bluestein Blvd, Austin, TX 78723, USA",78723,140600693,2014-03-01 08:40:42,03/01/2014,Warrant Service,Warrant Service,5100 Block REGENCY DR,2014-03-01 08:40:42.000,2014-03-01 08:40:42.000,0 days 00:00:00.000000000,0.0
"10400 Doc Holliday Trail, Austin, TX 78753, USA",78753,120850128,2012-03-25 00:54:46,03/25/2012,Disturbance HS,zAGG ASSAULT-J,10400 Block DOC HOLLIDAY TRL,2012-03-25 00:54:17.000,2012-03-25 00:59:08.000,0 days 00:04:51.000000000,4.85
"0 San Marcos St, Austin, TX 78702, USA",78702,120850128,2012-03-25 00:54:46,03/25/2012,Disturbance HS,zAGG ASSAULT-J,10400 Block DOC HOLLIDAY TRL,2012-03-25 00:54:17.000,2012-03-25 00:59:08.000,0 days 00:04:51.000000000,4.85
"2600 W William Cannon Dr, Austin, TX 78745, USA",78745,121150039,2012-04-24 00:33:28,04/24/2012,Traffic Stop,Traffic Stop,2600 Block W WILLIAM CANNON DR,2012-04-24 00:33:28.000,2012-04-24 00:33:28.000,0 days 00:00:00.000000000,0.0
"2800 Bartons Bluff Ln, Austin, TX 78746, USA",78746,121150039,2012-04-24 00:33:28,04/24/2012,Traffic Stop,Traffic Stop,2600 Block W WILLIAM CANNON DR,2012-04-24 00:33:28.000,2012-04-24 00:33:28.000,0 days 00:00:00.000000000,0.0
"4400 Monterey Oaks Blvd, Austin, TX 78749, USA",78749,122700860,2012-09-26 12:41:45,09/26/2012,Check Welfare Urgent,Check Welfare Urgent,North Bluff Dr / E William Cannon Dr,2012-09-26 12:40:37.000,2012-09-26 12:43:36.000,0 days 00:02:59.000000000,2.98333333333
"4900 Prock Ln, Austin, TX 78721, USA",78721,132901908,2013-10-17 21:44:00,10/17/2013,Auto Theft,Auto Theft Service,4900 Block PROCK LN,2013-10-17 21:43:09.000,2013-10-17 22:12:37.000,0 days 00:29:28.000000000,29.4666666667
"2100 E 17th St, Austin, TX 78702, USA",78702,133071203,2013-11-03 15:02:25,11/03/2013,*Assist Non Emergency,xFALSE ALARM OR REPORT,2100 Block E 17th St,2013-11-03 14:49:35.000,2013-11-03 15:08:41.000,0 days 00:19:06.000000000,19.1
"4100 Medical Pkwy, Austin, TX 78756, USA",78756,133071203,2013-11-03 15:02:25,11/03/2013,*Assist Non Emergency,xFALSE ALARM OR REPORT,2100 Block E 17th St,2013-11-03 14:49:35.000,2013-11-03 15:08:41.000,0 days 00:19:06.000000000,19.1
"2100 Travis Heights Blvd, Austin, TX 78704, USA",78704,150261680,2015-01-26 23:21:30,01/26/2015,DOC / C.O. Violation,Traffic Impediment,2100 Block Travis Heights Blvd,2015-01-26 23:21:20.000,2015-01-26 23:40:10.000,0 days 00:18:50.000000000,18.8333333333
"1700 Morrow St, Austin, TX 78757, USA",78757,150261680,2015-01-26 23:21:30,01/26/2015,DOC / C.O. Violation,Traffic Impediment,2100 Block Travis Heights Blvd,2015-01-26 23:21:20.000,2015-01-26 23:40:10.000,0 days 00:18:50.000000000,18.8333333333
"3600 Southridge Dr, Austin, TX 78704, USA",78704,150641303,2015-03-05 18:25:29,03/05/2015,Auto Theft Service,xASSIST COMPLAINANT,3600 Block Southridge Dr,2015-03-05 18:23:38.000,2015-03-05 18:37:48.000,0 days 00:14:10.000000000,14.1666666667
